Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
A001,"Corn grits, white",Zea mays,"Mais, durog, puti",100%,Data Image
A002,"Corn grits, yellow",Zea mays,"Mais, durog, dilaw",100%,Data Image
A003,"Corn on cob, white",Zea mays,"Mais sa busal, puti",30%,Data Image
A004,"Corn on cob, yellow",Zea mays,"Mais sa busal, dilaw",39%,Data Image
A005,"Corn on cob, yellow, boiled",Zea mays,"Mais sa busal, dilaw, nilaga",54%,Data Image
A006,"Cornmeal, white",Zea mays,"Mais, giniling, puti",100%,Data Image
A007,"Cornmeal, yellow",Zea mays,"Mais, giniling, dilaw",100%,Data Image
A008,Job's tears grain,Coix lacryma-jobi,Adlay/Tigbe butil,100%,Data Image
A009,"Millet, glutinous",Panicum miliaceum,N/A,100%,Data Image
A010,Rice bran,Oryza sativa,Darak,100%,Data Image
A011,"Rice, glutinous, parboiled, flattened",Oryza sativa,Pinipig,100%,Data Image
A012,"Rice, milled, glutinous",Oryza sativa,"Bigas, malagkit",100%,Data Image
A013,"Rice, milled, glutinous, milled w/ water",Oryza sativa,"Bigas, malagkit, galapong",100%,Data Image
A014,"Rice, undermilled",Oryza sativa,Brown rice/Pinawa,100%,Data Image
A015,"Rice, undermilled, glutinous, purple",Oryza sativa,"Bigas, malagkit, pirurutong",100%,Data Image
A016,"Rice, undermilled, glutinous, purple, boiled",Oryza sativa,"Bigas, malagkit, pirurutong, sinaing",100%,Data Image
A017,"Rice, undermilled, red",Oryza sativa,"Bigas, mapula",100%,Data Image
A019,"Rice, well-milled",Oryza sativa,"Bigas, maputi",100%,Data Image
A020,"Rice, well-milled, boiled",Oryza sativa,"Bigas, maputi, sinaing",100%,Data Image
A021,"Rice, well-milled, fried",N/A,"Bigas, maputi, sinangag",100%,Data Image
A022,Rice-corn mixture (1:1),N/A,Bigas-mais pinaghalo (1:1),100%,Data Image
A023,"Rice-corn mixture (1:1), boiled",N/A,"Bigas-mais pinaghalo (1:1), sinaing",100%,Data Image
A024,Sorghum,Sorghum bicolor,"Batad/Batag, butil",100%,Data Image
A025,"Sorghum, boiled",Sorghum bicolor,"Batad/Batag, butil, nilaga",100%,Data Image
A026,"Ampaw, pinipig",N/A,N/A,100%,Data Image
A027,"Ampaw, rice",N/A,N/A,100%,Data Image
A028,Bicho-bicho,N/A,Bitsu-bitso,100%,Data Image
A029,"Biscuit, cocohoney",N/A,N/A,100%,Data Image
A030,"Bread, w/ margarine & sugar filling",N/A,Spanish bread,100%,Data Image
A031,"Bread, brown",N/A,N/A,100%,Data Image
A032,"Bread, cheese roll",N/A,N/A,100%,Data Image
A033,"Bread, cinnamon roll",N/A,N/A,100%,Data Image
A034,"Bread, hotdog roll",N/A,N/A,100%,Data Image
A035,"Bread, toasted, w/ margarine-sugar topping",N/A,Biscocho,100%,Data Image
A036,"Bread, mung bean loaf",N/A,Munggo bread,100%,Data Image
A037,"Bread, pan de bonete",N/A,N/A,100%,Data Image
A038,"Bread, pan de coco",N/A,N/A,100%,Data Image
A039,"Bread, pan de leche",N/A,N/A,100%,Data Image
A040,"Bread, pan de limon",N/A,N/A,100%,Data Image
A041,"Bread, pan de monay",N/A,N/A,100%,Data Image
A042,"Bread, pan de sal",N/A,N/A,100%,Data Image
A043,"Bread, raisin",N/A,N/A,100%,Data Image
A044,"Bread, rye",N/A,N/A,100%,Data Image
A045,"Bread, sweet roll",N/A,Ensaymada,100%,Data Image
A046,"Bread, sweet roll w/ mung bean filling",N/A,"Ensaymada, may munggo",100%,Data Image
A047,"Bread, toasted",N/A,"Toast/Tinapay, tostado",100%,Data Image
A048,"Bread, white, loaf",N/A,American loaf/Pan Amerikano,100%,Data Image
A049,Bunuelos,N/A,N/A,100%,Data Image
A050,"Cake, angel food",N/A,N/A,100%,Data Image
A051,"Cake, banana",N/A,N/A,100%,Data Image
A052,"Cake, butter",N/A,N/A,100%,Data Image
A053,"Cake, cheese cupcake",N/A,N/A,100%,Data Image
A054,"Cake, chiffon",N/A,N/A,100%,Data Image
A055,"Cake, chocolate",N/A,N/A,100%,Data Image
A056,"Cake, cream-filled roll",N/A,N/A,100%,Data Image
A057,"Cake, fruit",N/A,N/A,100%,Data Image
A058,"Cake, jelly roll",N/A,Pianono,100%,Data Image
A059,"Cake, kababayan",N/A,N/A,100%,Data Image
A060,"Cake, mamon",N/A,N/A,100%,Data Image
A061,"Cake, mamon, toasted",N/A,N/A,100%,Data Image
A062,"Cake, marshmallow roll",N/A,N/A,100%,Data Image
A063,"Cake, mocha roll",N/A,N/A,100%,Data Image
A064,"Cake, pineapple roll",N/A,N/A,100%,Data Image
A065,"Cake, sponge",N/A,N/A,100%,Data Image
A066,"Chips, cheese flvr",N/A,N/A,100%,Data Image
A067,"Chips, corn, bbq flvr",N/A,N/A,100%,Data Image
A068,"Chips, corn, nacho cheese flvr",N/A,N/A,100%,Data Image
A069,"Chips, corn, natural flvr",N/A,N/A,100%,Data Image
A070,"Chips, corn-potato based, cheese flvr",N/A,N/A,100%,Data Image
A071,"Chips, corn, taco & bbq flvr",N/A,N/A,100%,Data Image
A072,"Chips, corn, taco flvr",N/A,N/A,100%,Data Image
A073,"Chips, fish crackers",N/A,N/A,100%,Data Image
A074,"Chips, fish kroepeck",N/A,N/A,100%,Data Image
A075,"Chips, prawn crackers",N/A,N/A,100%,Data Image
A076,"Chips, prawn crackers, flvrd",N/A,N/A,100%,Data Image
A077,"Chips, shrimp crackers",N/A,N/A,100%,Data Image
A078,"Chips, shrimp kroepeck",N/A,N/A,100%,Data Image
