Food_ID,Food_name_and_Description,Scientific_name,Alternate_Common_names,Edible_portion,Option,Proximates_Water_g,Proximates_Energy_calculated_kcal,Proximates_Protein_g,Proximates_Total_Fat_g,Proximates_Carbohydrate_total_g,Proximates_Carbohydrate_available_g,Proximates_Ash_total_g,Other_Carbohydrate_Fiber_total_dietary_g,Other_Carbohydrate_Sugars_total_g,Minerals_Calcium_Ca_mg,Minerals_Phosphorus_P_mg,Minerals_Iron_Fe_mg,Minerals_Sodium_Na_mg,Vitamins_Retinol_Vitamin_A_µg,Vitamins_beta-Carotene_µg,Vitamins_Retinol_Activity_Equivalent_RAE_µg,Vitamins_Thiamin_Vitamin_B1_mg,Vitamins_Riboflavin_Vitamin_B2_mg,Vitamins_Niacin_mg,Vitamins_Ascorbic_Acid_Vitamin_C_mg,Lipids_Fatty_acids_saturated_total_g,Lipids_Fatty_acids_monounsaturated_total_g,Lipids_Fatty_acids_polyunsaturated_totalg,Lipids_Cholesterol_mg,Minerals_Potassium_K_mg,Minerals_Zinc_Zn_mg,Lipids_Caproic_C6_g,Lipids_Caprylic_C8_g,Lipids_Capric_C10_g,Lipids_Lauric_C12_g,Lipids_Myristic_C14_g,Lipids_Palmitic_C16_g,Lipids_Stearic_C18_g,Lipids_Arachidic_C20_g,Lipids_Behenic_C22_g,Lipids_Lignoceric_C24_g,Lipids_Oleic__C181_g,Lipids_Linoleic_C182_g,Lipids_Linolenic_C183_g,Vitamins_Niacin_from_Trytophan_mg,Proximates_Energy_calculated_kJ
A001,"Corn grits, white",Zea mays,"Mais, durog, puti",100%,Data Image,12.2,357,8.3,1.5,77.5,73.0,0.5,4.5,0.6,11,86,0.4,1,0,0,0,0.08,0.05,0.6,0,0.29,0.30,0.75,0,,,,,,,,,,,,,,,,,
A002,"Corn grits, yellow",Zea mays,"Mais, durog, dilaw",100%,Data Image,12.0,350,7.7,0.8,78.1,,1.4,1.6,0.6,22,213,1.3,1,0,65,5,0.14,0.03,1.3,0,0.10,0.20,0.34,0,,,,,,,,,,,,,,,,,
A003,"Corn on cob, white",Zea mays,"Mais sa busal, puti",30%,Data Image,63.2,148,4.4,0.8,30.9,,0.7,4.1,4.9,13,116,0.7,23,0,1,0,0.22,0.10,1.8,6,0.12,0.24,0.38,0,,,,,,,,,,,,,,,,,
A004,"Corn on cob, yellow",Zea mays,"Mais sa busal, dilaw",39%,Data Image,57.9,173,4.4,1.5,35.4,,0.8,3.5,11.0,8,107,0.8,3,0,210,18,0.22,0.13,1.6,11,0.36,0.48,0.54,0,,,,,,,,,,,,,,,,,
A005,"Corn on cob, yellow, boiled",Zea mays,"Mais sa busal, dilaw, nilaga",54%,Data Image,59.2,167,3.3,1.2,35.7,,0.6,3.7,7.0,10,92,1.2,1,0,104,9,0.09,0.08,0.9,5,0.16,0.30,0.48,0,,,,,,,,,,,,,,,,,
A006,"Cornmeal, white",Zea mays,"Mais, giniling, puti",100%,Data Image,12.2,353,7.6,0.6,79.2,,0.4,7.1,0.6,13,56,0.4,34,0,0,0,0.05,0.01,0.5,0,0.08,0.16,0.27,0,,,,,,,,,,,,,,,,,
A007,"Cornmeal, yellow",Zea mays,"Mais, giniling, dilaw",100%,Data Image,10.4,371,8.5,3.2,77.0,,0.9,7.3,0.6,20,148,1.7,35,0,160,13,0.36,0.12,1.7,0,0.45,0.85,1.46,0,,,,,,,,,,,,,,,,,
A008,Job's tears grain,Coix lacryma-jobi,Adlay/Tigbe butil,100%,Data Image,10.2,368,13.1,2.5,73.3,,0.9,9.0,0.7,63,280,6.8,42,0,0,0,0.44,0.11,2.6,0,0.28,0.86,0.62,0,,,,,,,,,,,,,,,,,
A009,"Millet, glutinous",Panicum miliaceum,N/A,100%,Data Image,13.6,353,10.3,2.5,72.3,,1.3,8.0,0.8,67,193,2.8,5,0,10,1,0.35,0.12,1.8,0,0.43,0.46,1.26,0,,,,,,,,,,,,,,,,,
A010,Rice bran,Oryza sativa,Darak,100%,Data Image,13.6,316,7.8,5.0,59.9,,13.7,19.3,0.8,80,739,13.8,13,0,0,0,1.84,0.30,33.3,0,1.00,1.81,1.79,0,,,,,,,,,,,,,,,,,
A011,"Rice, glutinous, parboiled, flattened",Oryza sativa,Pinipig,100%,Data Image,14.8,340,4.3,1.0,78.5,,1.4,1.7,0.3,26,223,2.1,7,0,10,1,0.24,0.05,4.4,0,-,-,-,0,,,,,,,,,,,,,,,,,
A012,"Rice, milled, glutinous",Oryza sativa,"Bigas, malagkit",100%,Data Image,11.7,355,6.9,0.8,80.1,,0.5,2.8,0.2,26,95,1.1,4,0,0,0,0.14,0.03,2.0,0,0.16,0.29,0.29,0,,,,,,,,,,,,,,,,,
A013,"Rice, milled, glutinous, milled w/ water",Oryza sativa,"Bigas, malagkit, galapong",100%,Data Image,47.4,210,4.4,0.1,47.9,,0.2,1.6,0.1,14,40,1.5,2,0,0,0,0.00,0.18,0.8,0,0.02,0.04,0.04,0,,,,,,,,,,,,,,,,,
A014,"Rice, undermilled",Oryza sativa,Brown rice/Pinawa,100%,Data Image,11.6,363,8.1,2.8,76.3,,1.2,3.0,3.6,6,252,1.8,9,0,8,1,0.04,0.00,0.7,4,0.58,1.04,1.03,0,231.0,2.0,0,0,0,0,0.01,0.49,0.05,0,0,0,1.03,0.99,0.04,,
A015,"Rice, undermilled, glutinous, purple",Oryza sativa,"Bigas, malagkit, pirurutong",100%,Data Image,11.5,358,8.7,2.0,76.3,,1.5,2.8,2.5,32,276,4.0,2,0,-,-,0.39,0.18,6.8,0,0.40,0.73,0.72,0,,,,,,,,,,,,,,,,,
A016,"Rice, undermilled, glutinous, purple, boiled",Oryza sativa,"Bigas, malagkit, pirurutong, sinaing",100%,Data Image,68.8,124,2.4,0.4,27.8,,0.6,1.3,0.1,7,107,1.5,7,0,0,0,0.10,0.04,1.7,0,0.08,0.15,0.15,0,,,,,,,,,,,,,,,,,
A017,"Rice, undermilled, red",Oryza sativa,"Bigas, mapula",100%,Data Image,10.4,358,7.5,0.9,80.0,,1.2,4.6,0.0,12,168,0.6,2,0,0,0,0.38,0.08,4.6,0,0.07,0.18,0.20,0,,,,,,,,,,,,,,,,,
A019,"Rice, well-milled",Oryza sativa,"Bigas, maputi",100%,Data Image,11.1,356,7.4,0.5,80.4,,0.6,1.3,0.1,27,155,1.0,1,0,0,0,0.10,0.05,2.8,0,0.14,0.16,0.13,0,,,,,,,,,,,,,,,,0.4,
A020,"Rice, well-milled, boiled",Oryza sativa,"Bigas, maputi, sinaing",100%,Data Image,67.6,129,2.1,0.2,29.7,,0.4,0.4,0.1,11,36,0.6,3,0,0,0,0.02,0.02,0.5,0,0.05,0.06,0.05,0,,,,,,,,,,,,,,,,,
A021,"Rice, well-milled, fried",N/A,"Bigas, maputi, sinangag",100%,Data Image,57.4,187,2.6,4.0,35.2,,0.8,0.5,0.1,3,35,1.1,4,0,0,0,0.02,0.04,0.4,0,3.37,0.27,0.11,0,,,,,,,,,,,,,,,,,
A022,Rice-corn mixture (1:1),N/A,Bigas-mais pinaghalo (1:1),100%,Data Image,9.2,366,7.5,1.0,81.8,,0.5,2.9,0.4,112,85,1.1,1,0,5,0,0.05,0.02,3.5,0,0.21,0.21,0.44,0,,,,,,,,,,,,,,,,,
